##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	father_R2_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2023471
Sequences flagged as poor quality	0
Sequence length	101
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	26-27	0.6868118055507964
1103	28-29	0.7584036815473425
1103	30-31	0.9204427149070682
1103	32-33	0.8388172118834376
1103	34-35	1.1231946276994762
1103	36-37	0.9361787220535618
1103	38-39	0.8692188875949256
1103	40-41	0.7741502239362816
1103	42-43	0.8326801866468472
1103	44-45	0.8988371013111589
1103	46-47	0.939782906013356
1103	48-49	0.9554854977269756
1103	50-51	0.9087344815415364
1103	52-53	0.7382323034552343
1103	54-55	0.6987287319069182
1103	56-57	0.8033237144563543
1103	58-59	0.7779023393954247
1103	60-61	0.8543515277691611
1103	62-63	0.8784946706539856
1103	64-65	0.846687367542664
1103	66-67	0.903438838499234
1103	68-69	0.8857184029527971
1103	70-71	0.9824630348329961
1103	72-73	0.912169068364932
1103	74-75	0.998850553069957
1103	76-77	1.079660085310941
1103	78-79	1.1498281153757475
1103	80-81	1.1244978286176774
1103	82-83	1.1994296826904502
1103	84-85	1.297883231770527
1103	86-87	1.2795655245108009
1103	88-89	1.211670647144583
1103	90-91	1.3123354864320902
1103	92-93	1.4413453412041832
1103	94-95	1.2933189013988944
1103	96-97	1.3960747287750443
1103	98-99	1.4967560155498418
1103	100-101	1.3488722506370578
1104	1	0.4570579014670564
1104	2	1.0639598619067243
1104	3	0.5581509959978064
1104	4	0.5960947717044007
1104	5	0.5159805693352126
1104	6	0.5166821367880274
1104	7	0.7100001169841335
1104	8	0.6725843451650348
1104	9	0.9774197825662441
1104	10-11	0.7993459460792351
1104	12-13	0.7102115693250894
1104	14-15	0.7606846752560372
1104	16-17	0.7423908822783218
1104	18-19	0.598259472827948
1104	20-21	0.9516077963934393
1104	22-23	0.5864752930051154
1104	24-25	0.9748499951433516
1104	26-27	0.6964576095737627
1104	28-29	0.6382243258684213
1104	30-31	0.7274565272193243
1104	32-33	0.8583492045447585
1104	34-35	1.0586573591721518
1104	36-37	1.0540517875693638
1104	38-39	0.9703238488101817
1104	40-41	0.9637069798965925
1104	42-43	1.0982064423980162
1104	44-45	1.0033154084711242
1104	46-47	0.9244072025645593
1104	48-49	0.9398158192220833
1104	50-51	1.0152362734347662
1104	52-53	0.8849023289314886
1104	54-55	0.9097950984988046
1104	56-57	0.9925929119543611
1104	58-59	0.7976978877052403
1104	60-61	0.9040449571771276
1104	62-63	0.7903506347590863
1104	64-65	0.7949332609226403
1104	66-67	0.7171342261565599
1104	68-69	0.6797540602021215
1104	70-71	0.6823356535637473
1104	72-73	0.8264354140434733
1104	74-75	0.7246086617432965
1104	76-77	0.8115324949082705
1104	78-79	0.8990500439661844
1104	80-81	0.7733244237353674
1104	82-83	0.7466997785115836
1104	84-85	0.8614486239907677
1104	86-87	0.9313267606794753
1104	88-89	1.001848386792485
1104	90-91	1.252957872264254
1104	92-93	1.3147950208497967
1104	94-95	1.0990899145552895
1104	96-97	1.2301059657042082
1104	98-99	1.4496142516044443
1104	100-101	1.0524396391309168
1105	1	0.30980619379027274
1105	2	0.5823304859849685
1105	3	0.44542686341998916
1105	4	0.2843913641129987
1105	5	0.46570695294151676
1105	6	0.4295712154187825
1105	7	0.5101563305989743
1105	8	0.4998441060902863
1105	9	0.7048672909105704
1105	10-11	0.854965269994473
1105	12-13	0.5357546784611529
1105	14-15	0.5739218385720406
1105	16-17	0.648305653682506
1105	18-19	0.6035040296081959
1105	20-21	0.9012347272325272
1105	22-23	0.565758311323826
1105	24-25	0.8099459064217811
1105	26-27	0.7697150030380087
1105	28-29	0.6287755852800458
1105	30-31	0.5277626476881565
1105	32-33	0.7271261295622153
1105	34-35	0.9130112072665355
1105	36-37	0.8621288076733791
1105	38-39	0.739598522799163
1105	40-41	0.7893315917882262
1105	42-43	0.9345392065057538
1105	44-45	0.8632102311056045
1105	46-47	0.8626079807218119
1105	48-49	0.8167483562864319
1105	50-51	0.8590020403368896
1105	52-53	0.7622465034250112
1105	54-55	0.7663262344919772
1105	56-57	0.6767956888696744
1105	58-59	0.7419943927894579
1105	60-61	0.8597744068394704
1105	62-63	0.8954270921059688
1105	64-65	0.8847323178193278
1105	66-67	0.7977734406252424
1105	68-69	0.7577565635010401
1105	70-71	0.7275580396539425
1105	72-73	0.7900645668029256
1105	74-75	0.6717783815290588
1105	76-77	0.8467562393777257
1105	78-79	0.7825874576120739
1105	80-81	0.8133604692992833
1105	82-83	0.7310856940592032
1105	84-85	0.9962575776506242
1105	86-87	1.0792256390463137
1105	88-89	1.03488344268008
1105	90-91	1.1328846653248732
1105	92-93	1.1582997848799188
1105	94-95	1.1175912826372532
1105	96-97	0.9611323182618428
1105	98-99	1.2186145814965492
1105	100-101	1.100078484896656
1106	1	0.27685373795593193
1106	2	0.6957625323961025
1106	3	0.45339875105568694
