##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	mother_R1_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1776099
Sequences flagged as poor quality	0
Sequence length	101
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	24-25	0.594494569408397
1103	26-27	0.7204212117976283
1103	28-29	0.7322313951180988
1103	30-31	0.8284398435058833
1103	32-33	0.9054140852797659
1103	34-35	1.1110327538823093
1103	36-37	0.8472122008314855
1103	38-39	0.8083976538463382
1103	40-41	0.7630267180461772
1103	42-43	0.6853116731004221
1103	44-45	0.634673369574962
1103	46-47	0.5764905744564999
1103	48-49	0.5020225995605259
1103	50-51	0.7851288427182581
1103	52-53	0.629862668598669
1103	54-55	0.47401291494404774
1103	56-57	0.5740593967105454
1103	58-59	0.47157991494558615
1103	60-61	0.5833369320258726
1103	62-63	0.778895344187319
1103	64-65	0.5498841938625887
1103	66-67	0.42735741441315156
1103	68-69	0.6711373703995349
1103	70-71	0.7040615726327104
1103	72-73	0.7841932024147482
1103	74-75	0.8051959797419741
1103	76-77	0.7239584690137306
1103	78-79	0.7291705678927158
1103	80-81	0.8198983329244811
1103	82-83	0.8060494634201305
1103	84-85	0.8520791095112656
1103	86-87	0.8198910352617403
1103	88-89	0.9519119728533738
1103	90-91	0.913068294312545
1103	92-93	0.7683709824763199
1103	94-95	0.9551071893415681
1103	96-97	0.7870897171639228
1103	98-99	0.8696989715963284
1103	100-101	1.0186344630592892
1104	1	0.1059130630221361
1104	2	0.2819496413245943
1104	3	0.5070206750178698
1104	4	0.2790342674457733
1104	5	0.39169606403742563
1104	6	0.6363824751129599
1104	7	0.6354873381344106
1104	8	0.2866232015511514
1104	9	0.3948025270155071
1104	10-11	0.46075256014253796
1104	12-13	0.6155849536313269
1104	14-15	0.7388140485324826
1104	16-17	0.5056111863255452
1104	18-19	0.6584344359910901
1104	20-21	0.5577824853857436
1104	22-23	0.759621470333137
1104	24-25	0.7237910723296181
1104	26-27	0.7604922127258433
1104	28-29	0.8099485927724217
1104	30-31	0.9601670679063048
1104	32-33	0.7773154311564454
1104	34-35	1.1180207382914062
1104	36-37	0.8382955039387312
1104	38-39	1.033817604601797
1104	40-41	0.8910852306410177
1104	42-43	0.8845403160480885
1104	44-45	0.7976466957691812
1104	46-47	0.8351142861693219
1104	48-49	0.7697598775746783
1104	50-51	0.9314805375223827
1104	52-53	0.7810938780453327
1104	54-55	0.7278778564525652
1104	56-57	0.7748749894074152
1104	58-59	0.8091105168638109
1104	60-61	0.8108552771841673
1104	62-63	1.0281040283192269
1104	64-65	0.885207811346767
1104	66-67	0.7429170065112558
1104	68-69	0.911684760112685
1104	70-71	0.9108470582236592
1104	72-73	0.9723136768972083
1104	74-75	0.9362320022058768
1104	76-77	0.7693730910212722
1104	78-79	0.8028576200587807
1104	80-81	0.7919336011754439
1104	82-83	0.988707491501934
1104	84-85	0.9004184656731411
1104	86-87	0.7576368021696425
1104	88-89	0.6860319202183973
1104	90-91	0.9334749040070278
1104	92-93	0.8709872825596747
1104	94-95	1.1035185763577147
1104	96-97	1.1201650892007216
1104	98-99	1.129519092769371
1104	100-101	1.0471694923801955
1105	1	0.02113534606051104
1105	2	0.24554103786618242
1105	3	0.30610437831613524
1105	4	0.15344891197536015
1105	5	0.3180071589308895
1105	6	0.49239009740410467
1105	7	0.6821941434619063
1105	8	0.3648530460645176
1105	9	0.5339701566045889
1105	10-11	0.45127537633585035
1105	12-13	0.5414804714808668
1105	14-15	0.6666455472452029
1105	16-17	0.5178453690578166
1105	18-19	0.44203029238387614
1105	20-21	0.5792607233390754
1105	22-23	0.638293245556639
1105	24-25	0.5682030814925838
1105	26-27	0.5837097926483992
1105	28-29	0.6762949610345004
1105	30-31	1.0766300004611864
1105	32-33	0.5945324840056898
1105	34-35	0.9671358632685987
1105	36-37	0.668344765022475
1105	38-39	0.8106223239352524
