##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	proband_R2_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2392554
Sequences flagged as poor quality	0
Sequence length	101
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	26-27	0.8963591208670536
1103	28-29	0.6505090191266163
1103	30-31	0.8048008259245023
1103	32-33	0.7302800296017011
1103	34-35	0.7132537726714574
1103	36-37	0.772277526346457
1103	38-39	0.8065370908901031
1103	40-41	0.8287269256238616
1103	42-43	0.8543593812745556
1103	44-45	0.694763517235387
1103	46-47	0.8592945576791209
1103	48-49	0.8394027097422168
1103	50-51	0.6261415188465307
1103	52-53	0.7671206192608864
1103	54-55	0.6559208329256521
1103	56-57	0.7527877270759973
1103	58-59	0.8976046957663897
1103	60-61	0.734688422759298
1103	62-63	0.7732349055117638
1103	64-65	0.7147587571311291
1103	66-67	0.7631124840930994
1103	68-69	0.8422802251130079
1103	70-71	0.8149997061126228
1103	72-73	0.7476256909346404
1103	74-75	0.8328342934013193
1103	76-77	0.7951734763089036
1103	78-79	0.8931225634011355
1103	80-81	0.8652031233129236
1103	82-83	0.8191416435915428
1103	84-85	0.7606044124839357
1103	86-87	0.8800453571221283
1103	88-89	0.8204542578993461
1103	90-91	0.7968804203950093
1103	92-93	0.7808707838039695
1103	94-95	0.8707765885857945
1103	96-97	1.0519645957510058
1103	98-99	1.1054240139954743
1103	100-101	1.1619549035248973
1104	1	0.17896045933867555
1104	2	0.2616166758131868
1104	3	0.30981929612448766
1104	4	0.3034388360526208
1104	5	0.49445045402006826
1104	6	0.36536894290554045
1104	7	0.2735367766161261
1104	8	0.5054834746933139
1104	9	0.4157487410387404
1104	10-11	0.4794642144798118
1104	12-13	0.5582770705180948
1104	14-15	0.6562143833388916
1104	16-17	0.7353319611360334
1104	18-19	0.5130632849900465
1104	20-21	0.8181302128785362
1104	22-23	0.6966521692712959
1104	24-25	0.7989649640332814
1104	26-27	0.8574275874849064
1104	28-29	0.772749609957657
1104	30-31	0.8251284080722812
1104	32-33	0.57050797282632
1104	34-35	0.7612857012805208
1104	36-37	0.892554055834978
1104	38-39	0.7615988499474184
1104	40-41	0.604133255636178
1104	42-43	0.8010717883643181
1104	44-45	0.7579986173184352
1104	46-47	0.6573770646406487
1104	48-49	0.6435489273179655
1104	50-51	0.6415583870935819
1104	52-53	0.6559149917400546
1104	54-55	0.6766469190235469
1104	56-57	0.8173217378919162
1104	58-59	0.7319856434658689
1104	60-61	0.7281308294092526
1104	62-63	0.8881091667789249
1104	64-65	0.8392180689378321
1104	66-67	0.7748695148290494
1104	68-69	0.7578689648970922
1104	70-71	0.7787075607194751
1104	72-73	0.8337147036607178
1104	74-75	0.6503510472110818
1104	76-77	0.7854667445156025
1104	78-79	0.7990017255511077
1104	80-81	0.8223810668393696
1104	82-83	0.8002652677784212
1104	84-85	0.7930649350665391
1104	86-87	0.6842538382451551
1104	88-89	0.8554391275124082
1104	90-91	0.9001721095912494
1104	92-93	0.8809419298240613
1104	94-95	0.8626768082329654
1104	96-97	1.0898599843678127
1104	98-99	1.0362362773271627
1104	100-101	1.0083463342670527
1105	1	0.37084803174698067
1105	2	0.3914033789846556
1105	3	0.40841580569014013
1105	4	0.3813825413348013
1105	5	0.46638620871860326
1105	6	0.41078235302482824
1105	7	0.4335168158632854
1105	8	0.4449265292279776
1105	9	0.4263134415262968
1105	10-11	0.37728252442444443
1105	12-13	0.5844616501621687
1105	14-15	0.42360367196733506
1105	16-17	0.6644200379579601
1105	18-19	0.5257802570247705
1105	20-21	0.7708076342999348
1105	22-23	0.6898020401333227
1105	24-25	0.7442802562627477
1105	26-27	0.8752985304281751
1105	28-29	0.7709578626500075
1105	30-31	0.8141548830437912
1105	32-33	0.6698708808922191
1105	34-35	0.6937964403004173
1105	36-37	0.8003697695330416
1105	38-39	0.7832168173223835
1105	40-41	0.8397675827362789
1105	42-43	0.8035680625819026
1105	44-45	0.8749831275044855
1105	46-47	0.8007069025943991
1105	48-49	0.759937902373764
1105	50-51	0.6990773026043016
1105	52-53	0.7474240010528206
1105	54-55	0.8048043088853731
1105	56-57	0.6956469565498224
1105	58-59	0.6719044517549762
1105	60-61	0.8118419952925535
1105	62-63	0.8638778412096073
1105	64-65	0.9559636064283055
1105	66-67	0.8215807110580897
1105	68-69	0.9674387466100711
1105	70-71	0.9547275990225472
